1592462651;0;2020-06-18 00:00:00
1592465143;0;2020-06-18 00:00:00
1592465143;1;2020-06-18 00:00:00
1592465143;2;2020-06-18 00:00:00
1592467598;0;2020-06-18 00:00:00
1592469815;0;2020-06-18 00:00:00
1592470164;0;2020-06-18 00:00:00
1592473048;0;2020-06-18 00:00:00
1592473048;1;2020-06-18 00:00:00
1592473048;2;2020-06-18 00:00:00
1592473055;0;2020-06-18 00:00:00
1592473055;1;2020-06-18 00:00:00
1592473055;2;2020-06-18 00:00:00
1592473055;3;2020-06-18 00:00:00
1592473055;4;2020-06-18 00:00:00
1592473055;5;2020-06-18 00:00:00
1592473055;6;2020-06-18 00:00:00
1592473055;7;2020-06-18 00:00:00
1592473055;8;2020-06-18 00:00:00
1592473055;9;2020-06-18 00:00:00
1592473055;10;2020-06-18 00:00:00
1592473055;11;2020-06-18 00:00:00
1592473055;12;2020-06-18 00:00:00
1592473087;0;2020-06-18 00:00:00
